id,season,doy,sample_id,fish_id,length,weight,weight_gonads,fecundity,age,age1,age2,age3,year,maturity,dillution,subsample_n,SS1,SS2,SS3,SS4,SS5,SS6,SS7,comment
82,B,172,430007,21,375,591.2,68.4,503000,3,,,,1983,5,4000,,,,,,,,,
83,B,173,430008,8,372,567.1,50.3,491200,4,,,,1983,5,,,,,,,,,,
84,B,173,430009,2,379,573.5,53.8,472000,9,,,,1983,5,2000,,,,,,,,,
85,B,173,430009,11,400,668.5,45.5,340800,9,,,,1983,5,3000,,,,,,,,,
86,B,173,430009,13,406,720.1,69.9,419000,10,,,,1983,5,,,,,,,,,,
87,B,174,430010,10,385,623.7,50.2,432600,5,,,,1983,5,,,,,,,,,,
88,B,174,430010,20,415,712.4,43.6,258500,7,,,,1983,5,2000,,,,,,,,,
89,B,175,430011,1,410,784.1,51.2,296000,9,,,,1983,5,,,,,,,,,,"endomagé non conservé, mais il y avait quand même une valeur de fécondité. "
90,B,188,433016,28,360,617.9,45,633000,3,,,,1983,5,3000,,,,,,,,,
91,C,146,430016,3,416,915.7,141.53,938000,10,9,9,10,1984,5,4000,2,222,470,,,,,,
92,C,146,461002,12,345,463.5,40.66,441000,3,,,,1984,5,2000,2,243,442,,,,,,
93,C,146,461002,19,417,968.6,145.87,948000,9,10,8,,1984,5,4000,2,249,475,,,,,,
94,C,149,463003,11,393,711.9,87.81,701333,10,,,,1984,5,4000,3,198,332,528,,,,,
95,C,149,463003,26,428,738.2,87.75,712000,,10,8,,1984,5,4000,2,195,161,,,,,,
96,C,149,463003,27,422,795.2,82.28,764000,11,11,10,,1984,5,4000,2,200,383,,,,,,
97,C,149,463003,34,427,923.2,101.37,880000,10,10,10,,1984,5,4000,2,229,441,,,,,,
98,C,149,431001,2,382,714.5,95.33,750667,6,,,,1984,5,4000,3,178,226,386,,,,,
99,C,149,431001,3,390,743.4,73.83,612000,4,,,,1984,5,4000,3,165,324,461,,,,,
100,C,149,431001,4,400,764.1,110.82,796000,6,,,,1984,5,4000,3,188,599,499,,,,,499 est entre parenthèse et avec un ?
101,C,149,431001,6,409,829.3,129.23,788000,6,,,,1984,5,4000,2,196,395,,,,,,
102,C,149,431001,7,397,758.6,79.16,586000,6,,,,1984,5,4000,4,135,255,410,178,,,,
103,C,149,431001,8,384,643.3,80.76,676000,4,,,,1984,5,4000,2,175,339,,,,,,
104,C,149,431001,10,420,989.9,192.79,1142000,11,,,,1984,5,4000,2,274,572,,,,,,
105,C,149,431001,11,401,792.7,77.7,517333,6,,,,1984,5,4000,3,137,256,390,,,,,
106,C,149,431001,15,416,903.2,123.97,788000,,,,,1984,5,4000,3,238,418,593,,,,,
107,C,149,431001,16,435,915.2,101.37,680000,10,,,,1984,5,4000,3,160,345,512,,,,,
108,C,150,451001,1,378,545.3,71.2,602667,4,4,4,,1984,5,4000,3,138,299,454,,,,,
109,C,150,451001,5,427,853.9,95.38,914000,12,12,11,,1984,5,4000,2,247,458,,,,,,
110,C,150,451001,8,425,867.7,156.45,1024000,8,8,8,,1984,5,4000,2,253,513,,,,,,
111,C,150,451001,12,397,663.1,90.42,692000,5,5,5,,1984,5,4000,2,172,347,,,,,,
112,C,151,470001,7,419,798.1,97.09,660000,,2,10,,1984,5,4000,3,167,329,497,,,,,2? Indiqué pour l'âge. C'est pour cela qu'ils l'ont annulé
113,C,151,470001,12,415,764.4,120.75,710000,10,10,10,,1984,5,4000,2,174,356,,,,,,
114,C,151,470001,22,422,887.6,134.31,792000,11,11,10,,1984,5,4000,2,179,410,596,,,,,
115,C,157,463005,9,356,523.6,53.45,505000,3,,,,1984,5,,,,,,,,,,
116,C,157,463005,17,398,721.5,83.86,813600,7,,,,1984,5,,,,,,,,,,
